State,Number,Percentage
AK,5,0.0025
AL,30,0.015
AR,19,0.0095
AZ,44,0.022
CA,238,0.119
CO,35,0.0175
CT,22,0.011
DC,5,0.0025
DE,6,0.003
FL,130,0.065
GA,65,0.0325
HI,9,0.0045
IA,20,0.01
ID,11,0.0055
IL,77,0.0385
IN,40,0.02
KS,18,0.009
KY,28,0.014
LA,29,0.0145
MA,43,0.0215
MD,37,0.0185
ME,9,0.0045
MI,60,0.03
MN,35,0.0175
MO,38,0.019
MS,19,0.0095
MT,7,0.0035
NC,64,0.032
ND,5,0.0025
NE,12,0.006
NH,9,0.0045
NJ,52,0.026
NM,13,0.0065
NV,19,0.0095
NY,114,0.057
OH,71,0.0355
OK,25,0.0125
OR,26,0.013
PA,76,0.038
RI,7,0.0035
SC,32,0.016
SD,6,0.003
TN,42,0.021
TX,175,0.0875
UT,20,0.01
VA,52,0.026
VT,4,0.002
WA,46,0.023
WI,36,0.018
WV,11,0.0055
WY,4,0.002
